SalespersonID,SalespersonName,DealershipID,SalesTeam,PerformanceTier,PerformanceWeight,SalesInfluenceWeight
SP064,Sophia Taylor,D008,Fleet,Strong Performer,1.1542325106607842,1.3273673872599019
SP065,Thomas Morgan,D009,Retail,Top Performer,1.254252601256386,1.4423904914448438
SP066,William Young,D009,Retail,Top Performer,1.4336367209563603,1.6486822290998142
SP067,Olivia Martin,D009,Retail,Developing,0.730184774500406,0.8397124906754668
SP068,Sophia Chen,D009,Retail,Average Performer,1.0401491929650535,1.1961715719098114
SP069,Alex King,D009,Retail,Top Performer,1.3722852759450785,1.5781280673368403
SP070,Alex Wilson,D009,Retail,Average Performer,0.9932163254824982,1.1421987743048727
SP071,William Carter,D009,Commercial,Strong Performer,1.1142914740695327,1.2814351951799625
SP072,Thomas Scott,D009,Fleet,Average Performer,0.9446933000274828,1.086397295031605
SP073,Mia Martin,D010,Retail,Average Performer,0.9516079767687031,1.0943491732840085
SP074,Michael Wilson,D010,Retail,Strong Performer,1.0550391023881365,1.213294967746357
SP075,Thomas Young,D010,Retail,Strong Performer,1.1289383695093593,1.298279124935763
SP076,Daniel Morgan,D010,Retail,Strong Performer,1.134347251666942,1.304499339416983
SP077,Alex Brooks,D010,Retail,Strong Performer,1.1878931645531017,1.3660771392360669
SP078,Grace Clark,D010,Retail,Average Performer,0.9076973379433411,1.0438519386348422
SP079,Daniel Anderson,D010,Commercial,Average Performer,1.0264570533481012,1.1804256113503162
SP080,Andrew Chen,D010,Fleet,Top Performer,1.2082567522561873,1.3894952650946153
